"X0Sale_ID","age","price","pass","wtop","fixgear","tdrag"
226,19,69000,4,0,1,0
227,18,76000,4,0,1,0
228,17,85000,4,0,1,0
229,36,21700,4,0,1,0
230,36,27000,4,0,1,0
231,35,29000,4,0,1,0
232,33,38000,4,0,1,0
233,29,42500,4,0,1,0
234,29,43000,4,0,1,0
235,35,45000,4,0,1,0
236,23,34000,4,0,1,0
237,22,38000,4,0,1,0
238,21,41500,4,0,1,0
239,20,45500,4,0,1,0
240,19,51000,4,0,1,0
241,18,60000,4,0,1,0
242,17,71000,4,0,1,0
243,24,38500,4,0,1,0
244,23,41000,4,0,1,0
245,22,43500,4,0,1,0
246,21,48500,4,0,1,0
247,31,54000,6,0,1,0
248,30,68500,6,0,1,0
249,26,75000,6,0,1,0
250,24,85500,6,0,1,0
251,22,90500,6,0,1,0
252,21,97000,6,0,1,0
253,20,107000,6,0,1,0
254,19,124500,6,0,1,0
255,18,135000,6,0,1,0
256,17,145000,6,0,1,0
257,21,68500,6,1,1,0
258,20,67000,6,1,1,0
259,20,76000,6,1,1,0
260,19,77000,6,1,1,0
261,19,88000,6,1,1,0
262,18,91500,6,1,1,0
263,18,102500,6,1,1,0
264,17,110000,6,1,1,0
265,17,123000,6,1,1,0
266,16,135000,6,1,1,0
267,16,150000,6,1,1,0
268,21,112500,6,0,1,0
269,20,119000,6,0,1,0
270,19,130000,6,0,1,0
271,18,160000,6,0,1,0
272,17,177501,6,0,1,0
273,14,154000,4,0,1,0
274,13,177501,4,0,1,0
275,22,74000,6,1,1,0
276,21,82000,6,1,1,0
277,20,95000,6,1,1,0
278,19,115000,6,1,1,0
279,18,134001,6,1,1,0
280,17,158000,6,0,1,0
281,20,70500,6,0,1,0
282,20,75000,6,0,1,0
283,20,83000,6,0,1,0
284,19,73000,6,0,1,0
285,19,76000,6,0,1,0
286,19,87500,6,0,1,0
287,19,95500,6,0,1,0
288,18,81000,6,0,1,0
289,18,88500,6,0,1,0
290,18,100000,6,0,1,0
291,18,108000,6,0,1,0
292,17,83000,6,0,1,0
293,17,104000,6,0,1,0
294,17,112000,6,0,1,0
295,17,120000,6,0,1,0
